ANO,MS,DI,HR,1200535,1200579,1210762
2018,1,11,5,-990.0,.0,.0
2018,1,11,6,-990.0,.0,.0
2018,1,11,7,-990.0,.0,.0
2018,1,11,8,-990.0,3.1,.1
2018,1,11,9,-990.0,253.3,146.7
2018,1,11,10,-990.0,801.9,709.2
2018,1,11,11,-990.0,1056.0,730.8
2018,1,11,12,-990.0,952.1,681.4
2018,1,11,13,-990.0,1413.5,831.1
2018,1,11,14,-990.0,1412.7,1608.7
2018,1,11,15,-990.0,1233.3,1242.2
2018,1,11,16,-990.0,742.6,1137.5
2018,1,11,17,-990.0,240.4,458.3
2018,1,11,18,-990.0,38.2,28.9
2018,1,11,19,-990.0,.0,.0
2018,1,11,20,-990.0,.0,.0
2018,1,11,21,-990.0,.0,.0
2018,1,11,22,-990.0,.0,.1
2018,1,11,23,-990.0,.0,.0
2018,1,12,0,-990.0,.0,.0
2018,1,12,1,-990.0,.0,.0
2018,1,12,2,-990.0,.0,.0
2018,1,12,3,-990.0,.0,.0
2018,1,12,4,-990.0,.0,.0
2018,1,12,5,-990.0,.0,.0
2018,1,12,6,-990.0,.0,.0
2018,1,12,7,-990.0,.0,.0
2018,1,12,8,-990.0,3.4,1.3
2018,1,12,9,-990.0,127.2,143.1
2018,1,12,10,-990.0,687.2,651.0
2018,1,12,11,-990.0,542.9,473.0
2018,1,12,12,-990.0,1178.0,942.5
2018,1,12,13,-990.0,1374.8,992.8
2018,1,12,14,-990.0,1403.0,1001.1
2018,1,12,15,-990.0,943.9,659.6
2018,1,12,16,-990.0,525.3,405.5
2018,1,12,17,-990.0,159.5,143.6
2018,1,12,18,-990.0,25.4,26.9
2018,1,12,19,-990.0,.0,.0
2018,1,12,20,-990.0,.0,.2
2018,1,12,21,-990.0,.0,.0
2018,1,12,22,-990.0,.0,.0
2018,1,12,23,-990.0,.0,.0
2018,1,13,0,-990.0,.0,.0
2018,1,13,1,-990.0,.0,.0
2018,1,13,2,-990.0,.0,.0
2018,1,13,3,-990.0,.0,.0
2018,1,13,4,-990.0,.0,.0
2018,1,13,5,-990.0,.0,.0
2018,1,13,6,-990.0,.0,.3
2018,1,13,7,-990.0,.0,.2
2018,1,13,8,-990.0,1.9,.3
2018,1,13,9,-990.0,212.0,154.3
2018,1,13,10,-990.0,669.5,590.4
2018,1,13,11,-990.0,607.4,544.9
2018,1,13,12,-990.0,1832.1,1336.9
2018,1,13,13,-990.0,1308.9,1290.1
2018,1,13,14,-990.0,1609.9,1337.6
2018,1,13,15,-990.0,1457.6,932.2
2018,1,13,16,-990.0,1033.5,764.7
2018,1,13,17,-990.0,340.6,367.0
2018,1,13,18,-990.0,27.5,26.6
2018,1,13,19,-990.0,.0,.0
2018,1,13,20,-990.0,.0,.0
2018,1,13,21,-990.0,.0,.0
2018,1,13,22,-990.0,.0,.0
2018,1,13,23,-990.0,.0,.0
2018,1,14,0,-990.0,.0,.0
2018,1,14,1,-990.0,.0,.0
2018,1,14,2,-990.0,.0,.0
2018,1,14,3,-990.0,.0,.0
2018,1,14,4,-990.0,.0,.0
2018,1,14,5,-990.0,.0,.0
2018,1,14,6,-990.0,.0,.0
2018,1,14,7,-990.0,.0,.0
2018,1,14,8,-990.0,1.2,.1
2018,1,14,9,-990.0,262.5,156.2
2018,1,14,10,-990.0,907.5,658.7
2018,1,14,11,-990.0,1042.3,966.1
2018,1,14,12,-990.0,1032.0,740.3
2018,1,14,13,-990.0,1832.9,1666.1
2018,1,14,14,-990.0,1071.2,1425.9
2018,1,14,15,-990.0,1100.0,892.8
2018,1,14,16,-990.0,549.6,397.7
2018,1,14,17,-990.0,231.2,216.9
2018,1,14,18,-990.0,49.2,46.7
2018,1,14,19,-990.0,.0,.0
2018,1,14,20,-990.0,.0,.0
2018,1,14,21,-990.0,.0,.0
2018,1,14,22,-990.0,.0,.0
2018,1,14,23,-990.0,.0,.0
2018,1,15,0,-990.0,.0,.0
2018,1,15,1,-990.0,.0,.0
2018,1,15,2,-990.0,.0,.0
2018,1,15,3,-990.0,.0,.0
2018,1,15,4,-990.0,.0,.0
2018,1,15,5,-990.0,.0,.0
2018,1,15,6,-990.0,.0,.0
2018,1,15,7,-990.0,.0,.0
2018,1,15,8,-990.0,1.5,.3
2018,1,15,9,-990.0,287.3,162.9
2018,1,15,10,-990.0,956.0,689.0
2018,1,15,11,-990.0,1492.1,1181.1
2018,1,15,12,-990.0,1888.6,1525.2
2018,1,15,13,-990.0,1967.9,1634.3
2018,1,15,14,-990.0,1800.3,1530.8
2018,1,15,15,-990.0,1672.1,1421.1
2018,1,15,16,-990.0,1134.0,1011.0
2018,1,15,17,-990.0,552.3,471.7
2018,1,15,18,-990.0,57.4,31.4
2018,1,15,19,-990.0,.0,.0
2018,1,15,20,-990.0,.0,.0
2018,1,15,21,-990.0,.0,.0
2018,1,15,22,-990.0,.0,.0
2018,1,15,23,-990.0,.0,.0
2018,1,16,0,-990.0,.0,.3
2018,1,16,1,-990.0,.0,.0
2018,1,16,2,-990.0,.0,.7
2018,1,16,3,-990.0,.0,.2
2018,1,16,4,-990.0,.7,3.0
2018,1,16,5,-990.0,.5,.8
2018,1,16,6,-990.0,.0,.1
2018,1,16,7,-990.0,.1,.2
2018,1,16,8,-990.0,3.4,2.4
2018,1,16,9,-990.0,170.0,90.0
2018,1,16,10,-990.0,577.1,598.3
2018,1,16,11,-990.0,1301.8,1153.2
2018,1,16,12,-990.0,764.3,604.7
2018,1,16,13,-990.0,552.5,303.3
2018,1,16,14,-990.0,443.4,442.4
2018,1,16,15,-990.0,577.1,409.3
2018,1,16,16,-990.0,345.8,333.2
2018,1,16,17,-990.0,129.7,108.6
2018,1,16,18,-990.0,19.0,20.7
2018,1,16,19,-990.0,.0,.0
2018,1,16,20,-990.0,.0,.0
2018,1,16,21,-990.0,.0,.0
2018,1,16,22,-990.0,.0,.0
2018,1,16,23,-990.0,.0,.7
2018,1,17,0,-990.0,.0,.0
2018,1,17,1,-990.0,.0,.0
2018,1,17,2,-990.0,.0,.0
2018,1,17,3,-990.0,.0,.0
2018,1,17,4,-990.0,.0,.0
2018,1,17,5,-990.0,.0,.0
2018,1,17,6,-990.0,.0,.0
2018,1,17,7,-990.0,.0,.0
